GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,"Receipts ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts from administrative records (%),Percent of receipts estimated (%)
0500000US17001,17001,"Adams County, Illinois",51,Information,2012,29,N,D,D,f,N,N
0500000US17001,17001,"Adams County, Illinois",511,Publishing industries (except internet),2012,3,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",5111,"Newspaper, periodical, book, and directory publishers",2012,3,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",51111,Newspaper publishers,2012,1,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",511110,Newspaper publishers,2012,1,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",51113,Book publishers,2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",511130,Book publishers,2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",512,Motion picture and sound recording industries,2012,2,N,D,D,b,N,N
0500000US17001,17001,"Adams County, Illinois",5121,Motion picture and video industries,2012,2,N,D,D,b,N,N
0500000US17001,17001,"Adams County, Illinois",51213,Motion picture and video exhibition,2012,2,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",512131,Motion picture theaters (except drive-ins),2012,2,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",515,Broadcasting (except internet),2012,7,16576,5719,1387,177,0.6,0.0
0500000US17001,17001,"Adams County, Illinois",5151,Radio and television broadcasting,2012,7,16576,5719,1387,177,0.6,0.0
0500000US17001,17001,"Adams County, Illinois",51511,Radio broadcasting,2012,4,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",515111,Radio networks,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",515112,Radio stations,2012,3,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",51512,Television broadcasting,2012,3,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",515120,Television broadcasting,2012,3,D,D,D,c,D,D
0500000US17001,17001,"Adams County, Illinois",517,Telecommunications,2012,15,N,D,D,c,N,N
0500000US17001,17001,"Adams County, Illinois",5171,Wired telecommunications carriers,2012,8,N,D,D,c,N,N
0500000US17001,17001,"Adams County, Illinois",51711,Wired telecommunications carriers,2012,8,N,D,D,c,N,N
0500000US17001,17001,"Adams County, Illinois",517110,Wired telecommunications carriers,2012,8,N,D,D,c,N,N
0500000US17001,17001,"Adams County, Illinois",5172,Wireless telecommunications carriers (except satellite),2012,5,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",51721,Wireless telecommunications carriers (except satellite),2012,5,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",517210,Wireless telecommunications carriers (except satellite),2012,5,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",5179,Other telecommunications,2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",51791,Other telecommunications,2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",517911,Telecommunications resellers,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",517919,All other telecommunications,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",5179199,Other telecommunications ,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",518,"Data processing, hosting, and related services",2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",5182,"Data processing, hosting, and related services",2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",51821,"Data processing, hosting, and related services",2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",518210,"Data processing, hosting, and related services",2012,2,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",51,Information,2012,5,N,D,D,a,N,N
0500000US17003,17003,"Alexander County, Illinois",515,Broadcasting (except internet),2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",5151,Radio and television broadcasting,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",51511,Radio broadcasting,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",515112,Radio stations,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",517,Telecommunications,2012,3,N,D,D,a,N,N
0500000US17003,17003,"Alexander County, Illinois",5171,Wired telecommunications carriers,2012,3,N,D,D,a,N,N
0500000US17003,17003,"Alexander County, Illinois",51711,Wired telecommunications carriers,2012,3,N,D,D,a,N,N
0500000US17003,17003,"Alexander County, Illinois",517110,Wired telecommunications carriers,2012,3,N,D,D,a,N,N
0500000US17003,17003,"Alexander County, Illinois",519,Other information services,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",5191,Other information services,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",51912,Libraries and archives,2012,1,D,D,D,a,D,D
0500000US17003,17003,"Alexander County, Illinois",519120,Libraries and archives,2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",51,Information,2012,5,N,D,D,b,N,N
0500000US17005,17005,"Bond County, Illinois",511,Publishing industries (except internet),2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",5111,"Newspaper, periodical, book, and directory publishers",2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",51111,Newspaper publishers,2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",511110,Newspaper publishers,2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",512,Motion picture and sound recording industries,2012,1,N,D,D,a,N,N
0500000US17005,17005,"Bond County, Illinois",5121,Motion picture and video industries,2012,1,N,D,D,a,N,N
0500000US17005,17005,"Bond County, Illinois",51213,Motion picture and video exhibition,2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",512131,Motion picture theaters (except drive-ins),2012,1,D,D,D,a,D,D
0500000US17005,17005,"Bond County, Illinois",515,Broadcasting (except internet),2012,1,D,D,D,b,D,D
